Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Time	Loss
1	-292.2294	0.0	-292.2294	-292.2294	-647.37354	50.975533	-554.15753	-749.86	1000.0	1000.0	999	3.79026198387146	0.0
2	-333.53613	0.0	-333.53613	-333.53613	-590.9472	44.866817	-515.3252	-672.41626	1000.0	1000.0	1999	7.4899351596832275	0.0
3	-257.20444	0.0	-257.20444	-257.20444	-694.56067	73.5532	-599.735	-843.7937	1000.0	1000.0	2999	11.183202028274536	0.0
4	-188.35495	0.0	-188.35495	-188.35495	-666.2111	49.806396	-606.1789	-784.4159	1000.0	1000.0	3999	14.882575035095215	0.0
5	-256.92343	0.0	-256.92343	-256.92343	-611.32776	29.552792	-560.3662	-668.45715	1000.0	1000.0	4999	18.522863149642944	0.0
6	-236.37929	0.0	-236.37929	-236.37929	-652.09174	48.20735	-584.8011	-757.04034	1000.0	1000.0	5999	22.160390853881836	0.0
7	-173.05083	0.0	-173.05083	-173.05083	-642.01733	37.041195	-587.2198	-723.33307	1000.0	1000.0	6999	25.685688018798828	0.0
8	-403.88712	0.0	-403.88712	-403.88712	-649.12976	81.10004	-545.9794	-833.0091	1000.0	1000.0	7999	29.2989661693573	0.0
9	-227.64899	0.0	-227.64899	-227.64899	-627.4325	58.569942	-555.8343	-758.2306	1000.0	1000.0	8999	32.85341811180115	0.0
10	-317.12384	0.0	-317.12384	-317.12384	-613.0091	64.828865	-474.7939	-725.59717	1000.0	1000.0	9999	36.549750089645386	0.0
11	-3458.3281	0.0	-3458.3281	-3458.3281	-14227.519	1405.9678	-12686.807	-15683.587	1000.0	1000.0	10999	42.901062965393066	0.4364896
12	-3892.4985	0.0	-3892.4985	-3892.4985	-1297.4436	863.71967	-498.5781	-3296.6672	1000.0	1000.0	11999	49.17974805831909	1.2849396
13	-984.7735	0.0	-984.7735	-984.7735	-1023.64325	64.1576	-908.58276	-1123.179	1000.0	1000.0	12999	55.441718101501465	1.0864749
14	-1247.0583	0.0	-1247.0583	-1247.0583	-1415.551	390.53696	-992.9008	-2236.4302	1000.0	1000.0	13999	61.82992219924927	1.2108743
15	-1086.9294	0.0	-1086.9294	-1086.9294	-1314.3586	390.37976	-874.58154	-2011.9708	1000.0	1000.0	14999	68.27767205238342	1.3383908
16	-1017.91565	0.0	-1017.91565	-1017.91565	-1724.2083	119.96606	-1390.2103	-1837.8533	1000.0	1000.0	15999	74.90168190002441	1.5072988
17	-1108.0359	0.0	-1108.0359	-1108.0359	-820.4647	205.23497	-421.6814	-1171.8387	1000.0	1000.0	16999	81.31160092353821	1.5543115
18	-586.97034	0.0	-586.97034	-586.97034	-1544.1365	302.57474	-900.87915	-1753.4725	1000.0	1000.0	17999	87.79016494750977	1.3215045
19	-1149.3217	0.0	-1149.3217	-1149.3217	-481.75873	116.450165	-249.98251	-560.1999	1000.0	1000.0	18999	94.19728302955627	1.1653141
20	-489.64172	0.0	-489.64172	-489.64172	-376.11456	36.896133	-328.7533	-468.53622	1000.0	1000.0	19999	100.63068222999573	1.1196872
21	-277.5339	0.0	-277.5339	-277.5339	-278.46808	17.19131	-251.52405	-305.70053	1000.0	1000.0	20999	107.12171006202698	1.0404656
22	-260.90457	0.0	-260.90457	-260.90457	-258.9026	18.93954	-217.25998	-284.35815	1000.0	1000.0	21999	113.53305506706238	0.9627129
23	-200.37596	0.0	-200.37596	-200.37596	-231.88138	17.140968	-209.60974	-264.5152	1000.0	1000.0	22999	119.84301495552063	0.9351462
24	-208.86778	0.0	-208.86778	-208.86778	-182.72408	18.148024	-137.33044	-200.32162	1000.0	1000.0	23999	126.09449696540833	0.8875531
25	-174.43538	0.0	-174.43538	-174.43538	-185.41959	30.384785	-147.02625	-245.56808	1000.0	1000.0	24999	132.3742709159851	0.853512
26	-193.34155	0.0	-193.34155	-193.34155	-187.32425	63.333954	-129.10814	-367.38754	1000.0	1000.0	25999	138.7236921787262	0.8252346
27	-144.82092	0.0	-144.82092	-144.82092	-152.9769	24.200243	-111.18909	-207.47726	1000.0	1000.0	26999	145.0448009967804	0.789295
28	-110.80563	0.0	-110.80563	-110.80563	-212.76155	28.793003	-169.35979	-277.887	1000.0	1000.0	27999	151.38328194618225	0.79298764
29	-110.99159	0.0	-110.99159	-110.99159	-158.09738	15.03016	-130.48183	-185.1195	1000.0	1000.0	28999	157.7317361831665	0.80399954
30	-41.767845	0.0	-41.767845	-41.767845	-40.33865	18.780382	-2.8267126	-68.929955	1000.0	1000.0	29999	164.0436990261078	0.78445286
31	-43.222286	0.0	-43.222286	-43.222286	18.95264	24.432325	47.19557	-33.892082	1000.0	1000.0	30999	170.52368211746216	0.7558798
32	-2.8106415	0.0	-2.8106415	-2.8106415	15.117879	28.0511	47.97663	-47.00473	1000.0	1000.0	31999	176.99402594566345	0.74511033
33	-68.52425	0.0	-68.52425	-68.52425	-15.597052	30.532715	27.748116	-69.670746	1000.0	1000.0	32999	183.4264850616455	0.7278208
34	-100.08049	0.0	-100.08049	-100.08049	-73.6709	61.91354	2.4414814	-149.1742	1000.0	1000.0	33999	189.86271595954895	0.73750645
35	-413.62604	0.0	-413.62604	-413.62604	-568.0106	221.05693	-164.51118	-811.5136	1000.0	1000.0	34999	196.2814531326294	0.7570378
36	-681.4659	0.0	-681.4659	-681.4659	-364.76614	42.292957	-282.59415	-429.9931	1000.0	1000.0	35999	202.71045088768005	0.77019614
37	-107.914734	0.0	-107.914734	-107.914734	96.67033	35.99782	163.89928	47.914448	1000.0	1000.0	36999	208.97026991844177	0.77941316
38	180.7064	0.0	180.7064	180.7064	173.66913	45.127403	251.68503	108.951355	1000.0	1000.0	37999	215.24644207954407	0.7698878
39	128.60442	0.0	128.60442	128.60442	83.88333	38.694595	130.20094	2.2899668	1000.0	1000.0	38999	221.56155395507812	0.7504098
40	82.261375	0.0	82.261375	82.261375	117.07347	26.307667	157.71582	73.06701	1000.0	1000.0	39999	227.85972213745117	0.7244829
41	137.92033	0.0	137.92033	137.92033	144.36093	123.051125	229.40005	-210.39326	1000.0	1000.0	40999	234.17701601982117	0.70619595
42	262.92838	0.0	262.92838	262.92838	186.66461	38.510357	256.554	143.36111	1000.0	1000.0	41999	240.46744084358215	0.66792583
43	119.04336	0.0	119.04336	119.04336	220.8541	65.88937	316.32617	129.48534	1000.0	1000.0	42999	246.7125461101532	0.6624441
44	155.07434	0.0	155.07434	155.07434	273.5014	44.43248	348.72284	204.67987	1000.0	1000.0	43999	252.96581602096558	0.67263013
45	295.96152	0.0	295.96152	295.96152	192.83731	83.64649	350.38248	40.437263	1000.0	1000.0	44999	259.1819610595703	0.6695216
46	392.2257	0.0	392.2257	392.2257	275.82745	149.94826	528.87537	-24.810766	1000.0	1000.0	45999	265.4629590511322	0.67320997
47	346.0495	0.0	346.0495	346.0495	270.3309	177.65598	387.68274	-144.077	1000.0	1000.0	46999	271.7071840763092	0.65263385
48	348.30707	0.0	348.30707	348.30707	348.65472	165.83907	512.7524	-128.60358	1000.0	1000.0	47999	277.96001410484314	0.6648232
49	222.45789	0.0	222.45789	222.45789	468.01044	94.1767	606.69	220.48041	1000.0	1000.0	48999	284.238450050354	0.6389228
50	677.10925	0.0	677.10925	677.10925	606.51575	53.67514	683.87976	495.47946	1000.0	1000.0	49999	290.51939511299133	0.6571449
51	570.3686	0.0	570.3686	570.3686	606.63	96.96922	805.77814	478.3534	1000.0	1000.0	50999	296.8071870803833	0.6639761
52	513.26245	0.0	513.26245	513.26245	412.11588	269.9036	688.7151	-79.95284	1000.0	1000.0	51999	303.0689170360565	0.6717266
53	660.61676	0.0	660.61676	660.61676	344.90106	228.25208	604.1129	-104.76096	1000.0	1000.0	52999	309.3086779117584	0.6907162
54	663.0945	0.0	663.0945	663.0945	554.2605	93.757866	680.2159	359.78784	1000.0	1000.0	53999	315.7067370414734	0.69639593
55	562.63165	0.0	562.63165	562.63165	323.56915	302.6019	612.46405	-134.36957	1000.0	1000.0	54999	322.0722110271454	0.71749926
56	714.0071	0.0	714.0071	714.0071	611.4042	152.6958	766.38715	228.3021	1000.0	1000.0	55999	328.469966173172	0.7415089
57	501.78577	0.0	501.78577	501.78577	265.6925	241.43742	526.75006	-151.3893	1000.0	1000.0	56999	334.83508706092834	0.7639242
58	693.72345	0.0	693.72345	693.72345	548.5669	119.24268	693.9319	274.2196	1000.0	1000.0	57999	341.18816208839417	0.77782005
59	111.779785	0.0	111.779785	111.779785	243.51389	249.21477	630.77826	-127.33124	1000.0	1000.0	58999	347.570631980896	0.796293
60	850.6198	0.0	850.6198	850.6198	450.23798	286.96124	783.2553	-141.92813	1000.0	1000.0	59999	353.92865109443665	0.81225884
61	14.425185	0.0	14.425185	14.425185	335.0397	290.42462	725.5289	-56.65951	1000.0	1000.0	60999	360.42073607444763	0.8404637
62	636.3161	0.0	636.3161	636.3161	347.2208	327.48727	882.4159	-90.70301	1000.0	1000.0	61999	366.82257103919983	0.8618185
63	847.2057	0.0	847.2057	847.2057	372.1442	322.92065	750.0451	-50.10654	1000.0	1000.0	62999	373.2096791267395	0.8806143
64	22.97067	0.0	22.97067	22.97067	378.49506	315.63956	666.9462	-71.16952	1000.0	1000.0	63999	379.60575318336487	0.90829206
65	756.57513	0.0	756.57513	756.57513	382.82632	274.0348	714.0731	-122.553566	1000.0	1000.0	64999	385.87242913246155	0.9438749
66	802.6559	0.0	802.6559	802.6559	768.3275	105.94929	938.50903	561.3323	1000.0	1000.0	65999	392.1469178199768	0.9522917
67	826.28064	0.0	826.28064	826.28064	754.95795	183.57176	891.5672	370.93823	1000.0	1000.0	66999	398.3910160064697	0.95367706
68	777.3896	0.0	777.3896	777.3896	871.591	74.361496	985.2772	714.2253	1000.0	1000.0	67999	404.55637097358704	0.98549414
69	807.58075	0.0	807.58075	807.58075	481.78192	337.7032	910.9848	38.541977	1000.0	1000.0	68999	410.76094913482666	1.0067449
70	816.5606	0.0	816.5606	816.5606	841.25354	82.77575	995.1791	732.78687	1000.0	1000.0	69999	416.96889305114746	1.0310498
71	1039.4177	0.0	1039.4177	1039.4177	760.95447	131.27097	952.57465	462.8163	1000.0	1000.0	70999	423.1952362060547	1.047784
72	817.82446	0.0	817.82446	817.82446	758.8458	260.35272	982.7975	-0.018277233	1000.0	1000.0	71999	429.4814112186432	1.054636
73	791.4899	0.0	791.4899	791.4899	1042.8962	115.42686	1321.7373	878.95435	1000.0	1000.0	72999	435.69569206237793	1.0743524
74	986.2385	0.0	986.2385	986.2385	924.4476	96.47728	1067.5745	740.0808	1000.0	1000.0	73999	441.88443207740784	1.0957136
75	1044.728	0.0	1044.728	1044.728	906.154	58.54261	1004.8831	800.49994	1000.0	1000.0	74999	448.140958070755	1.1292826
76	1070.3247	0.0	1070.3247	1070.3247	1064.5623	82.58741	1178.6451	907.10297	1000.0	1000.0	75999	454.3902761936188	1.1454705
77	914.73615	0.0	914.73615	914.73615	950.57947	327.0292	1180.3662	-0.28995112	1000.0	1000.0	76999	460.6870379447937	1.1795709
